ward_code,ward_name,observation
E05013636,East Finchley,6772.9
E05013637,Edgware (Barnet),5980.5
E05013638,Edgwarebury,1686.9
E05013639,Finchley Church End,6282.5
E05013640,Friern Barnet,7053
E05013641,Garden Suburb,2857.4
E05013642,Golders Green,8987.5
E05013643,Hendon (Barnet),6559.7
E05013644,High Barnet,1469.8
E05013645,Mill Hill (Barnet),2323.8
E05013646,Totteridge & Woodside,1516.2
E05013647,Underhill,4865.3
E05013648,West Finchley,7963.4
E05013649,West Hendon,5475.2
E05013650,Whetstone,4513.2
E05013651,Woodhouse (Barnet),6321.7
E05013652,Belsize,12270.8
E05013653,Bloomsbury,8975.8
E05013654,Camden Square,16202.8
E05013655,Camden Town,10562.1
E05013656,Fortune Green,11206
E05013657,Frognal,6691.2
E05013658,Gospel Oak,14429.8
E05013659,Hampstead Town,3630
E05013660,Haverstock,16456.6
E05013661,Highgate (Camden),3172.6
E05013662,Holborn & Covent Garden,9340.8
E05013663,Kentish Town North,12924
E05013664,Kentish Town South,12688.4
E05013665,Kilburn (Camden),18360.5
E05013666,King's Cross,10634.6
E05013667,Primrose Hill,9412.4
E05013668,Regent's Park (Camden),8836.7
E05013669,St Pancras & Somers Town,15177.1
E05013670,South Hampstead,15135.6
E05013671,West Hampstead,13766.7
E05013672,Arnos Grove,4628
E05013673,Bowes,8384.6
E05013674,Brimsdown,3522.9
E05013675,Bullsmoor,6339.8
E05013676,Bush Hill Park,5587.2
E05013677,Carterhatch,6756.4
E05013678,Cockfosters,1090.5
E05013679,Edmonton Green,5827
E05013680,Enfield Lock,5459.6
E05013681,Grange Park,3818.3
E05013682,Haselbury,9092
E05013683,Highfield (Enfield),5586.2
E05013684,Jubilee (Enfield),5630.6
E05013685,Lower Edmonton,8804.9
E05013686,New Southgate,10966
E05013687,Oakwood (Enfield),4541.1
E05013688,Palmers Green,7458
E05013689,Ponders End,3999.9
E05013690,Ridgeway (Enfield),1129.5
E05013691,Southbury,7611.3
E05013692,Southgate (Enfield),6149.1
E05013693,Town (Enfield),6508.4
E05013694,Upper Edmonton,7282.4
E05013695,Whitewebbs,1326.7
E05013696,Winchmore Hill,4886.5
E05013697,Arsenal,16088.5
E05013698,Barnsbury,13010
E05013699,Bunhill,13207.1
E05013700,Caledonian,13141.5
E05013701,Canonbury,14639.4
E05013702,Clerkenwell,11727.4
E05013703,Finsbury Park,17400.5
E05013704,Highbury,12736.8
E05013705,Hillrise,14779.8
E05013706,Holloway,16321.1
E05013707,Junction,12142.5
E05013708,Laycock,14397.1
E05013709,Mildmay,15782.1
E05013710,St Mary's & St James' (Islington),15785.4
E05013711,St Peter's & Canalside,17869
E05013712,Tollington,16805.9
E05013713,Tufnell Park,14632.3
E05013714,Bellingham (Lewisham),4770.5
E05013715,Blackheath (Lewisham),6736
E05013716,Brockley,10358.2
E05013717,Catford South,7271.4
E05013718,Crofton Park,8946.3
E05013719,Deptford,13253.8
E05013720,Downham,6869.9
E05013721,Evelyn,12538
E05013722,Forest Hill,8282.8
E05013723,Grove Park,6482.2
E05013724,Hither Green,9353.7
E05013725,Ladywell,7627.3
E05013726,Lee Green,8354.7
E05013727,Lewisham Central,12394.6
E05013728,New Cross Gate,10144.7
E05013729,Perry Vale,9395.2
E05013730,Rushey Green,9512.4
E05013731,Sydenham,9240.6
E05013732,Telegraph Hill,10954
E05013733,Addison,20614.3
E05013734,Avonmore,15859.3
E05013735,Brook Green,11848.3
E05013736,College Park & Old Oak,2906.6
E05013737,Coningham,18270.3
E05013738,Fulham Reach,15479.6
E05013739,Fulham Town,16053.4
E05013740,Grove,14173.7
E05013741,Hammersmith Broadway,11357.1
E05013742,Lillie,15940.6
E05013743,Munster,16067.8
E05013744,Palace & Hurlingham,7090.8
E05013745,Parsons Green & Sandford,10537.2
E05013746,Ravenscourt,8790.3
E05013747,Sands End,16229.2
E05013748,Shepherd's Bush Green,9252.5
E05013749,Walham Green,16509.6
E05013750,Wendell Park,13077.7
E05013751,West Kensington,16773.6
E05013752,White City,17860.5
E05013753,Wormholt,12337.8
E05013754,Beddington,2169.4
E05013755,Belmont (Sutton),4970
E05013756,Carshalton Central,5309.9
E05013757,Carshalton South & Clockhouse,1419
E05013758,Cheam,2750.4
E05013759,Hackbridge,6121.3
E05013760,North Cheam,6851.4
E05013761,St Helier East,7673.5
E05013762,St Helier West,8404.4
E05013763,South Beddington & Roundshaw,3775.5
E05013764,Stonecot,5300.6
E05013765,Sutton Central,11018
E05013766,Sutton North,5668.6
E05013767,Sutton South,8764.1
E05013768,Sutton West & East Cheam,6911
E05013769,The Wrythe,7882.1
E05013770,Wallington North,7570.8
E05013771,Wallington South,6326.7
E05013772,Worcester Park North,6422.7
E05013773,Worcester Park South,5274.9
E05013774,Barnes (Richmond upon Thames),3812.9
E05013775,East Sheen,1787.9
E05013776,Fulwell & Hampton Hill,3825.2
E05013777,"Ham, Petersham & Richmond Riverside",1169.9
E05013778,Hampton (Richmond upon Thames),1510.6
E05013779,Hampton North,4837.9
E05013780,Hampton Wick & South Teddington,3916.7
E05013781,Heathfield,5662.7
E05013782,Kew (Richmond upon Thames),3597.4
E05013783,Mortlake & Barnes Common,6607.2
E05013784,North Richmond,4026.4
E05013785,St Margarets & North Twickenham,6271
E05013786,South Richmond,4383.5
E05013787,South Twickenham,6186.1
E05013788,Teddington,2475.2
E05013789,Twickenham Riverside,6070.9
E05013790,West Twickenham,7311.2
E05013791,Whitton (Richmond upon Thames),6153.9
E05013792,Abbey Road,10801.7
E05013793,Bayswater,18821.9
E05013794,Church Street,26449.1
E05013795,Harrow Road,23064.5
E05013796,Hyde Park,5808.6
E05013797,Knightsbridge & Belgravia,5375.3
E05013798,Lancaster Gate,6732
E05013799,Little Venice,16273.2
E05013800,Maida Vale,16984.7
E05013801,Marylebone,11137.9
E05013802,Pimlico North,17339.5
E05013803,Pimlico South,21851.6
E05013804,Queen's Park (Westminster),21849.9
E05013805,Regent's Park (Westminster),4759
E05013806,St James's (Westminster),3288.1
E05013807,Vincent Square,16549.7
E05013808,West End (Westminster),5053
E05013809,Westbourne (Westminster),18242.3
E05013810,Abbey (Merton),7756.4
